"Domain"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"1007178_1_RA_CPH.bin.63"	"Bacteria"	"Patescibacteria"	"Saccharimonadia"	"Saccharimonadales"	"Nanogingivalaceae"	"Nanogingivalis"	"Nanogingivalis sp010014525"
"1007179_1_RD_CPH.bin.64"	"Bacteria"	"Fermentibacterota"	"Fermentibacteria"	"Fermentibacterales"	"Fermentibacteraceae"	"Fermentibacter"	"Fermentibacter daniensis"
"1007180_1_RL_CPH.bin.46"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Neisseriaceae"	"Vitreoscilla"	"Unclassified_Vitreoscilla"
"1007180_2_RL_CPH.bin.3"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Neisseriaceae"	"Vitreoscilla"	"Unclassified_Vitreoscilla"
"1007181_1_RA_CPH.bin.19"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Aeromonadaceae"	"Aeromonas"	"Aeromonas media"
"1007181_2_RA_CPH.bin.13"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"Acinetobacter"	"Acinetobacter johnsonii"
"1007182_2_RD_CPH.bin.45"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Neisseriaceae"	"Vitreoscilla"	"Unclassified_Vitreoscilla"
"1007182_2_RD_CPH.bin.53"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	"Streptococcus parasuis"
"1007183_1_RL_CPH.bin.2"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Acidovorax"	"Acidovorax temperans"
"1007184_1_RA_CPH.bin.33"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Janthinobacterium"	"Unclassified_Janthinobacterium"
"1007184_2_RA_CPH.bin.34"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Comamonas_F"	"Unclassified_Comamonas_F"
"1007185_2_RD_CPH.bin.61"	"Bacteria"	"Actinobacteriota"	"Actinomycetia"	"Actinomycetales"	"Bifidobacteriaceae"	"Bifidobacterium"	"Bifidobacterium adolescentis"
"1007186_2_RL_CPH.bin.41"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Acidovorax"	"Unclassified_Acidovorax"
"1007187_2_RA_CPH.bin.21"	"Bacteria"	"Desulfobacterota"	"Desulfobulbia"	"Desulfobulbales"	"Desulfobulbaceae"	"Desulfobulbus"	"Unclassified_Desulfobulbus"
"1007188_1_RD_CPH.bin.14"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Acidovorax"	"Unclassified_Acidovorax"
"1007188_1_RD_CPH.bin.8"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"Psychrobacter"	"Psychrobacter glacincola_B"
"1007188_2_RD_CPH.bin.3"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"Psychrobacter"	"Unclassified_Psychrobacter"
"1007191_1_RD_CPH.bin.106"	"Bacteria"	"Hydrogenedentota"	"Hydrogenedentia"	"Hydrogenedentiales"	"SLHB01"	"UBA2224"	"UBA2224 sp012719295"
"1007191_1_RD_CPH.bin.107"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"UBA5518"	"UBA5518"	"UBA5518 sp002396625"
"1007191_1_RD_CPH.bin.108"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingorhabdus_B"	"Sphingorhabdus_B sp016720115"
"1007191_1_RD_CPH.bin.11"	"Bacteria"	"Acidobacteriota"	"Aminicenantia"	"Aminicenantales"	"RBG-16-66-30"	"RBG-16-66-30"	"RBG-16-66-30 sp012516875"
"1007191_1_RD_CPH.bin.112"	"Bacteria"	"Patescibacteria"	"ABY1"	"BM507"	"UBA12075"	"Unclassified_UBA12075"	"Unclassified_UBA12075"
"1007191_1_RD_CPH.bin.115"	"Bacteria"	"Muirbacteria"	"Unclassified_Muirbacteria"	"Unclassified_Muirbacteria"	"Unclassified_Muirbacteria"	"Unclassified_Muirbacteria"	"Unclassified_Muirbacteria"
"1007191_1_RD_CPH.bin.12"	"Bacteria"	"Chloroflexota"	"Anaerolineae"	"Anaerolineales"	"Anaerolineaceae"	"JAGOFZ01"	"JAGOFZ01 sp019136175"
"1007191_1_RD_CPH.bin.121"	"Bacteria"	"Firmicutes_A"	"Clostridia"	"Christensenellales"	"CAG-74"	"DTU024"	"Unclassified_DTU024"
"1007191_1_RD_CPH.bin.124"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Casimicrobiaceae"	"VBCG01"	"VBCG01 sp016704895"
"1007191_1_RD_CPH.bin.126"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiae"	"Pedosphaerales"	"UBA8199"	"UBA8199"	"UBA8199 sp003527065"
"1007191_1_RD_CPH.bin.132"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Dysgonomonadaceae"	"UBA4179"	"UBA4179 sp002849245"
"1007191_1_RD_CPH.bin.134"	"Bacteria"	"Chloroflexota"	"Anaerolineae"	"Anaerolineales"	"Anaerolineaceae"	"UBA6107"	"UBA6107 sp012798065"
"1007191_1_RD_CPH.bin.14"	"Bacteria"	"UBA1439"	"UBA1439"	"UBA1439"	"UBA1439"	"UBA1439"	"Unclassified_UBA1439"
"1007191_1_RD_CPH.bin.19"	"Bacteria"	"Patescibacteria"	"Gracilibacteria"	"UBA1369"	"UBA1369"	"UBA1369"	"UBA1369 sp002305925"
"1007191_1_RD_CPH.bin.20"	"Bacteria"	"Acidobacteriota"	"Aminicenantia"	"Aminicenantales"	"UBA4085"	"JAAZPG01"	"JAAZPG01 sp012797375"
"1007191_1_RD_CPH.bin.24"	"Bacteria"	"Firmicutes_A"	"Clostridia"	"Christensenellales"	"CAG-74"	"DTU024"	"Unclassified_DTU024"
"1007191_1_RD_CPH.bin.25"	"Bacteria"	"Spirochaetota"	"UBA4802"	"UBA4802"	"UBA5550"	"RBG-16-49-21"	"Unclassified_RBG-16-49-21"
"1007191_1_RD_CPH.bin.46"	"Bacteria"	"Firmicutes_A"	"Clostridia"	"Lutisporales"	"Lutisporaceae"	"BRH-c25"	"BRH-c25 sp017994115"
"1007191_1_RD_CPH.bin.56"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Rubrivivax"	"Rubrivivax sp016709385"
"1007191_1_RD_CPH.bin.6"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Prolixibacteraceae"	"UBA1413"	"UBA1413 sp002304925"
"1007191_1_RD_CPH.bin.63"	"Bacteria"	"Planctomycetota"	"UBA8108"	"UBA8890"	"UBA8898"	"UBA8898"	"UBA8898 sp002070955"
"1007191_1_RD_CPH.bin.64"	"Bacteria"	"Firmicutes_A"	"Clostridia"	"Christensenellales"	"CAG-74"	"DTU024"	"Unclassified_DTU024"
"1007191_1_RD_CPH.bin.66"	"Bacteria"	"Firmicutes_A"	"Clostridia"	"Christensenellales"	"CAG-74"	"DTU024"	"Unclassified_DTU024"
"1007191_1_RD_CPH.bin.71"	"Bacteria"	"Verrucomicrobiota"	"Kiritimatiellae"	"RFP12"	"UBA1067"	"DUPH01"	"DUPH01 sp012838435"
"1007191_1_RD_CPH.bin.75"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"VadinHA17"	"LD21"	"LD21 sp002070505"
"1007191_1_RD_CPH.bin.76"	"Bacteria"	"Firmicutes_A"	"Clostridia"	"Oscillospirales"	"Acutalibacteraceae"	"UBA1447"	"UBA1447 sp002069695"
"1007191_1_RD_CPH.bin.87"	"Bacteria"	"Chloroflexota"	"Anaerolineae"	"Anaerolineales"	"Anaerolineaceae"	"T78"	"T78 sp019136215"
"1007191_1_RD_CPH.bin.9"	"Bacteria"	"Desulfobacterota"	"Desulfomonilia"	"UBA1062"	"UBA1062"	"MWEI01"	"MWEI01 sp002071045"
"1007191_1_RD_CPH.bin.96"	"Bacteria"	"Desulfobacterota_G"	"Syntrophorhabdia"	"Syntrophorhabdales"	"Syntrophorhabdaceae"	"Syntrophorhabdus"	"Syntrophorhabdus sp002067585"
"1007191_1_RD_CPH.bin.97"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Tenuifilaceae"	"MWFE01"	"MWFE01 sp002071445"
"1007192_1_RL_CPH.bin.1"	"Bacteria"	"Firmicutes_A"	"Clostridia"	"Oscillospirales"	"Oscillospiraceae"	"ER4"	"ER4 sp000765235"
"1007193_1_RA_CPH.bin.13"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Weeksellaceae"	"Cloacibacterium"	"Cloacibacterium caeni_A"
