"Domain"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"bin_cph_ra.1001"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Thermomonas"	"Unclassified_Thermomonas"
"bin_cph_ra.1004"	"Bacteria"	"Actinobacteriota"	"Actinomycetia"	"Actinomycetales"	"Dermatophilaceae"	"JADJVJ01"	"Unclassified_JADJVJ01"
"bin_cph_ra.1005"	"Bacteria"	"Firmicutes_A"	"Clostridia"	"Oscillospirales"	"Ruminococcaceae"	"Unclassified_Ruminococcaceae"	"Unclassified_Ruminococcaceae"
"bin_cph_ra.1006"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Flavobacterium"	"Unclassified_Flavobacterium"
"bin_cph_ra.1010"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Pseudorhodoferax"	"Unclassified_Pseudorhodoferax"
"bin_cph_ra.1019"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Comamonas_C"	"Comamonas_C sp001724135"
"bin_cph_ra.1024"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Aestuariivirgaceae"	"Aestuariivirga"	"Unclassified_Aestuariivirga"
"bin_cph_ra.1025"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Pseudoxanthomonas_A"	"Unclassified_Pseudoxanthomonas_A"
"bin_cph_ra.1027"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Chitinophagales"	"Saprospiraceae"	"JAGOHC01"	"JAGOHC01 sp017996375"
"bin_cph_ra.1029"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Unclassified_Rhodospirillales"	"Unclassified_Rhodospirillales"	"Unclassified_Rhodospirillales"
"bin_cph_ra.103"	"Bacteria"	"Desulfobacterota"	"Syntrophia"	"Syntrophales"	"Smithellaceae"	"UBA8904"	"UBA8904 sp012797505"
"bin_cph_ra.1034"	"Bacteria"	"Firmicutes_A"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"SZUA-378"	"Unclassified_SZUA-378"
"bin_cph_ra.1047"	"Bacteria"	"Desulfobacterota_I"	"Desulfovibrionia"	"Desulfovibrionales"	"Desulfovibrionaceae"	"Frigididesulfovibrio_A"	"Unclassified_Frigididesulfovibrio_A"
"bin_cph_ra.1051"	"Bacteria"	"Chloroflexota"	"Anaerolineae"	"Thermoflexales"	"J036"	"Unclassified_J036"	"Unclassified_J036"
"bin_cph_ra.1076"	"Bacteria"	"Patescibacteria"	"Paceibacteria"	"Moranbacterales"	"UBA9337"	"UBA9337"	"Unclassified_UBA9337"
"bin_cph_ra.1082"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Rhodanobacteraceae"	"Rhodanobacter"	"Unclassified_Rhodanobacter"
"bin_cph_ra.1083"	"Bacteria"	"Firmicutes_A"	"Clostridia"	"Oscillospirales"	"Oscillospiraceae"	"CAG-83"	"CAG-83 sp900552475"
"bin_cph_ra.1085"	"Bacteria"	"Planctomycetota"	"Phycisphaerae"	"Phycisphaerales"	"UBA1924"	"JAEUIZ01"	"Unclassified_JAEUIZ01"
"bin_cph_ra.1094"	"Bacteria"	"Actinobacteriota"	"Actinomycetia"	"Actinomycetales"	"Dermatophilaceae"	"Tetrasphaera_A"	"Unclassified_Tetrasphaera_A"
"bin_cph_ra.1097"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Ligilactobacillus"	"Ligilactobacillus ruminis"
"bin_cph_ra.1100"	"Archaea"	"Halobacteriota"	"Methanomicrobia"	"Methanomicrobiales"	"Methanosphaerulaceae"	"UBA288"	"Unclassified_UBA288"
"bin_cph_ra.1108"	"Bacteria"	"Firmicutes_C"	"Negativicutes"	"Selenomonadales"	"Selenomonadaceae"	"Megamonas"	"Megamonas funiformis"
"bin_cph_ra.1114"	"Bacteria"	"Firmicutes_A"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Roseburia"	"Roseburia intestinalis"
"bin_cph_ra.1115"	"Archaea"	"Halobacteriota"	"Methanomicrobia"	"Methanomicrobiales"	"Methanoregulaceae"	"UBA9949"	"UBA9949 sp012516785"
"bin_cph_ra.1123"	"Bacteria"	"Firmicutes"	"Bacilli"	"ML615J-28"	"CAG-698"	"JAAYBG01"	"JAAYBG01 sp012718985"
"bin_cph_ra.1131"	"Bacteria"	"Chloroflexota"	"Anaerolineae"	"Caldilineales"	"Caldilineaceae"	"JADJPH01"	"Unclassified_JADJPH01"
"bin_cph_ra.1142"	"Bacteria"	"Firmicutes_A"	"Clostridia"	"Oscillospirales"	"Oscillospiraceae"	"Faecousia"	"Faecousia sp003525905"
"bin_cph_ra.1155"	"Bacteria"	"Armatimonadota"	"Fimbriimonadia"	"Fimbriimonadales"	"Fimbriimonadaceae"	"Unclassified_Fimbriimonadaceae"	"Unclassified_Fimbriimonadaceae"
"bin_cph_ra.1165"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Micropepsales"	"Micropepsaceae"	"SZUA-430"	"SZUA-430 sp016792645"
"bin_cph_ra.1168"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"Bacteroides sp017992695"
"bin_cph_ra.119"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"JAGPBS01"	"JAGPBS01"	"JAGPBS01"	"Unclassified_JAGPBS01"
"bin_cph_ra.1196"	"Bacteria"	"Armatimonadota"	"Fimbriimonadia"	"Fimbriimonadales"	"Fimbriimonadaceae"	"JAFLBD01"	"Unclassified_JAFLBD01"
"bin_cph_ra.1201"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"SCMT01"	"Unclassified_SCMT01"
"bin_cph_ra.1206"	"Bacteria"	"Patescibacteria"	"Saccharimonadia"	"Saccharimonadales"	"Nanoperiomorbaceae"	"Unclassified_Nanoperiomorbaceae"	"Unclassified_Nanoperiomorbaceae"
"bin_cph_ra.1208"	"Bacteria"	"Firmicutes_A"	"Clostridia"	"Oscillospirales"	"Acutalibacteraceae"	"CAG-177"	"CAG-177 sp003538135"
"bin_cph_ra.1210"	"Bacteria"	"Firmicutes"	"Bacilli"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Erysipelothrix"	"Unclassified_Erysipelothrix"
"bin_cph_ra.1216"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonas_E"	"Pseudomonas_E lundensis_A"
"bin_cph_ra.1221"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Lactococcus"	"Lactococcus cremoris"
"bin_cph_ra.1226"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Lactococcus_A"	"Lactococcus_A carnosus"
"bin_cph_ra.1230"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Weeksellaceae"	"Moheibacter"	"Unclassified_Moheibacter"
"bin_cph_ra.1241"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Luteimonas"	"Unclassified_Luteimonas"
"bin_cph_ra.1246"	"Bacteria"	"Firmicutes_A"	"Clostridia"	"Oscillospirales"	"Oscillospiraceae"	"ER4"	"ER4 sp003522105"
"bin_cph_ra.1247"	"Bacteria"	"Desulfobacterota"	"Syntrophia"	"Syntrophales"	"UBA5619"	"UBA5619"	"Unclassified_UBA5619"
"bin_cph_ra.1257"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"Lactobacillus paragasseri"
"bin_cph_ra.1259"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Budvicia"	"Budvicia aquatica"
"bin_cph_ra.1263"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Gemmobacter"	"Gemmobacter aquaticus"
"bin_cph_ra.1265"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Aerococcaceae"	"Granulicatella"	"Unclassified_Granulicatella"
"bin_cph_ra.1266"	"Bacteria"	"Patescibacteria"	"Saccharimonadia"	"Saccharimonadales"	"Saccharimonadaceae"	"Saccharimonas"	"Unclassified_Saccharimonas"
"bin_cph_ra.1278"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Chitinophagales"	"Chitinophagaceae"	"JJ008"	"JJ008 sp016719165"
"bin_cph_ra.1280"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"Psychrobacter"	"Unclassified_Psychrobacter"
"bin_cph_ra.1303"	"Bacteria"	"Planctomycetota"	"Phycisphaerae"	"Phycisphaerales"	"UBA1924"	"JABWBC01"	"Unclassified_JABWBC01"
"bin_cph_ra.1307"	"Bacteria"	"Actinobacteriota"	"Actinomycetia"	"Mycobacteriales"	"Mycobacteriaceae"	"Gordonia"	"Unclassified_Gordonia"
"bin_cph_ra.1308"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Janthinobacterium"	"Unclassified_Janthinobacterium"
"bin_cph_ra.1312"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Giesbergeria"	"Unclassified_Giesbergeria"
"bin_cph_ra.1314"	"Bacteria"	"Synergistota"	"Synergistia"	"Synergistales"	"Thermovirgaceae"	"58-81"	"58-81 sp002070395"
"bin_cph_ra.1317"	"Bacteria"	"Firmicutes_A"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"RUG115"	"RUG115 sp900066395"
"bin_cph_ra.1326"	"Bacteria"	"Moduliflexota"	"Moduliflexia"	"Moduliflexales"	"Moduliflexaceae"	"Moduliflexus"	"Unclassified_Moduliflexus"
"bin_cph_ra.1328"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Chromatiales"	"Chromatiaceae"	"M0108"	"Unclassified_M0108"
"bin_cph_ra.1333"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Unclassified_Burkholderiaceae"	"Unclassified_Burkholderiaceae"
"bin_cph_ra.134"	"Bacteria"	"Acidobacteriota"	"Vicinamibacteria"	"Fen-336"	"JAGNNV01"	"JAGNNV01"	"Unclassified_JAGNNV01"
"bin_cph_ra.1353"	"Bacteria"	"Actinobacteriota"	"Actinomycetia"	"Actinomycetales"	"Bifidobacteriaceae"	"Bifidobacterium"	"Bifidobacterium animalis"
"bin_cph_ra.136"	"Bacteria"	"Patescibacteria"	"Paceibacteria"	"Moranbacterales"	"UBA1568"	"UBA1568"	"Unclassified_UBA1568"
"bin_cph_ra.1365"	"Bacteria"	"Chloroflexota"	"Anaerolineae"	"Aggregatilineales"	"A4b"	"OLB15"	"Unclassified_OLB15"
"bin_cph_ra.1368"	"Bacteria"	"Firmicutes_A"	"Clostridia"	"Peptostreptococcales"	"Filifactoraceae"	"Acetoanaerobium"	"Unclassified_Acetoanaerobium"
"bin_cph_ra.1371"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"AKYH767-A"	"OLB10"	"OLB10"	"Unclassified_OLB10"
"bin_cph_ra.1377"	"Bacteria"	"Deinococcota"	"Deinococci"	"Deinococcales"	"Thermaceae"	"Unclassified_Thermaceae"	"Unclassified_Thermaceae"
"bin_cph_ra.1391"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Rhodocyclaceae"	"UBA2357"	"Unclassified_UBA2357"
"bin_cph_ra.1421"	"Bacteria"	"Patescibacteria"	"JAEDAM01"	"BD1-5"	"UBA2023"	"GN02-873"	"Unclassified_GN02-873"
"bin_cph_ra.1423"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"Psychrobacter"	"Unclassified_Psychrobacter"
"bin_cph_ra.1424"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Aeromonadaceae"	"Aeromonas"	"Aeromonas salmonicida"
"bin_cph_ra.1430"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Micavibrionales"	"Micavibrionaceae"	"UBA1573"	"Unclassified_UBA1573"
"bin_cph_ra.1443"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Beijerinckiaceae"	"GCA-013693735"	"Unclassified_GCA-013693735"
"bin_cph_ra.1446"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Flavobacterium"	"Unclassified_Flavobacterium"
"bin_cph_ra.1451"	"Bacteria"	"Firmicutes_A"	"Clostridia"	"Oscillospirales"	"CAG-272"	"UMGS911"	"UMGS911 sp900545935"
"bin_cph_ra.1458"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiae"	"Verrucomicrobiales"	"V1-33"	"JAGNEJ01"	"Unclassified_JAGNEJ01"
"bin_cph_ra.1459"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"Acinetobacter"	"Unclassified_Acinetobacter"
"bin_cph_ra.1460"	"Bacteria"	"Firmicutes_A"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Lachnospira"	"Lachnospira sp900316325"
"bin_cph_ra.1487"	"Bacteria"	"Actinobacteriota"	"Actinomycetia"	"Mycobacteriales"	"Mycobacteriaceae"	"Skermania"	"Unclassified_Skermania"
"bin_cph_ra.149"	"Bacteria"	"Actinobacteriota"	"Actinomycetia"	"Actinomycetales"	"Cellulomonadaceae"	"Unclassified_Cellulomonadaceae"	"Unclassified_Cellulomonadaceae"
"bin_cph_ra.1517"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingorhabdus_B"	"Sphingorhabdus_B sp016707885"
"bin_cph_ra.1523"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Cytophagales"	"Spirosomaceae"	"Dyadobacter"	"Unclassified_Dyadobacter"
"bin_cph_ra.1537"	"Bacteria"	"Firmicutes"	"Bacilli"	"Culicoidibacterales"	"BHER01"	"BHER01"	"Unclassified_BHER01"
"bin_cph_ra.159"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Rhodanobacteraceae"	"Dokdonella_A"	"Unclassified_Dokdonella_A"
"bin_cph_ra.162"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Pelistega"	"Unclassified_Pelistega"
"bin_cph_ra.177"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiae"	"Verrucomicrobiales"	"DEV007"	"Unclassified_DEV007"	"Unclassified_DEV007"
"bin_cph_ra.182"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"Lactobacillus helveticus"
"bin_cph_ra.20"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Marinifilaceae"	"Odoribacter"	"Odoribacter splanchnicus"
"bin_cph_ra.200"	"Bacteria"	"Campylobacterota"	"Campylobacteria"	"Campylobacterales"	"Sulfurospirillaceae"	"Sulfurospirillum"	"Unclassified_Sulfurospirillum"
"bin_cph_ra.209"	"Bacteria"	"Actinobacteriota"	"Actinomycetia"	"Actinomycetales"	"Actinomycetaceae"	"Ancrocorticia"	"Unclassified_Ancrocorticia"
"bin_cph_ra.211"	"Bacteria"	"Firmicutes_A"	"Clostridia"	"Peptostreptococcales"	"Anaerovoracaceae"	"JAAZGD01"	"Unclassified_JAAZGD01"
"bin_cph_ra.212"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Chitinophagales"	"Chitinophagaceae"	"Ferruginibacter"	"Unclassified_Ferruginibacter"
"bin_cph_ra.216"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Rhodocyclaceae"	"Propionivibrio"	"Unclassified_Propionivibrio"
"bin_cph_ra.217"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"RF32"	"CAG-239"	"CAG-267"	"CAG-267 sp001917135"
"bin_cph_ra.233"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Paracoccus"	"Unclassified_Paracoccus"
"bin_cph_ra.240"	"Bacteria"	"Firmicutes_A"	"Clostridia"	"Oscillospirales"	"Ruminococcaceae"	"Ruthenibacterium"	"Unclassified_Ruthenibacterium"
"bin_cph_ra.241"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Novosphingobium"	"Novosphingobium sp016719755"
"bin_cph_ra.244"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"Lactobacillus acidophilus"
"bin_cph_ra.258"	"Bacteria"	"Firmicutes_C"	"Negativicutes"	"JAGOZY01"	"JAGOZY01"	"JAGOHU01"	"Unclassified_JAGOHU01"
"bin_cph_ra.263"	"Bacteria"	"Actinobacteriota"	"Actinomycetia"	"Actinomycetales"	"Actinomycetaceae"	"KH17"	"Unclassified_KH17"
"bin_cph_ra.270"	"Bacteria"	"Synergistota"	"Synergistia"	"Synergistales"	"Aminobacteriaceae"	"Aminivibrio"	"Aminivibrio sp009929115"
"bin_cph_ra.28"	"Bacteria"	"Firmicutes_A"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Unclassified_Clostridiaceae"	"Unclassified_Clostridiaceae"
"bin_cph_ra.287"	"Bacteria"	"Patescibacteria"	"Saccharimonadia"	"Saccharimonadales"	"UBA5946"	"RZYF01"	"Unclassified_RZYF01"
"bin_cph_ra.303"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Prevotella"	"Prevotella sp002299635"
"bin_cph_ra.31"	"Bacteria"	"Firmicutes_A"	"Clostridia"	"Christensenellales"	"CAG-138"	"PeH17"	"PeH17 sp000435055"
"bin_cph_ra.310"	"Bacteria"	"Actinobacteriota"	"Actinomycetia"	"Actinomycetales"	"Bifidobacteriaceae"	"Bifidobacterium"	"Bifidobacterium thermophilum"
"bin_cph_ra.312"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"Acinetobacter"	"Acinetobacter sp003987695"
"bin_cph_ra.317"	"Bacteria"	"Firmicutes_A"	"Clostridia"	"Oscillospirales"	"Oscillospiraceae"	"UBA2658"	"Unclassified_UBA2658"
"bin_cph_ra.319"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Thermomonas"	"Unclassified_Thermomonas"
"bin_cph_ra.32"	"Bacteria"	"Patescibacteria"	"Saccharimonadia"	"Saccharimonadales"	"Nanoperiomorbaceae"	"GCA-016699895"	"GCA-016699895 sp016699895"
"bin_cph_ra.343"	"Bacteria"	"Armatimonadota"	"UBA5829"	"DSUL01"	"DSUL01"	"JAGVUD01"	"JAGVUD01 sp019136435"
"bin_cph_ra.363"	"Bacteria"	"Firmicutes_A"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"JAGOGN01"	"Unclassified_JAGOGN01"
"bin_cph_ra.400"	"Bacteria"	"Firmicutes_A"	"Clostridia"	"Oscillospirales"	"Acutalibacteraceae"	"UBA1417"	"UBA1417 sp003531055"
"bin_cph_ra.411"	"Bacteria"	"Firmicutes_A"	"Clostridia"	"Peptostreptococcales"	"Anaerovoracaceae"	"Unclassified_Anaerovoracaceae"	"Unclassified_Anaerovoracaceae"
"bin_cph_ra.425"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"Psychrobacter"	"Unclassified_Psychrobacter"
"bin_cph_ra.433"	"Bacteria"	"Firmicutes_C"	"Negativicutes"	"Propionisporales"	"Propionisporaceae"	"CTSoil-075"	"Unclassified_CTSoil-075"
"bin_cph_ra.439"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Unclassified_Gammaproteobacteria"	"Unclassified_Gammaproteobacteria"	"Unclassified_Gammaproteobacteria"	"Unclassified_Gammaproteobacteria"
"bin_cph_ra.442"	"Bacteria"	"Actinobacteriota"	"Actinomycetia"	"Actinomycetales"	"Actinomycetaceae"	"Actinomyces"	"Unclassified_Actinomyces"
"bin_cph_ra.450"	"Bacteria"	"Actinobacteriota"	"Actinomycetia"	"Actinomycetales"	"Microbacteriaceae"	"Protaetiibacter"	"Unclassified_Protaetiibacter"
"bin_cph_ra.454"	"Bacteria"	"Synergistota"	"Synergistia"	"Synergistales"	"Aminobacteriaceae"	"Unclassified_Aminobacteriaceae"	"Unclassified_Aminobacteriaceae"
"bin_cph_ra.458"	"Bacteria"	"Bipolaricaulota"	"Bipolaricaulia"	"Bipolaricaulales"	"Bipolaricaulaceae"	"Bipolaricaulis"	"Bipolaricaulis anaerobius"
"bin_cph_ra.462"	"Bacteria"	"Firmicutes_A"	"Clostridia"	"Oscillospirales"	"Oscillospiraceae"	"Pseudoflavonifractor"	"Unclassified_Pseudoflavonifractor"
"bin_cph_ra.463"	"Bacteria"	"Fusobacteriota"	"Fusobacteriia"	"Fusobacteriales"	"Fusobacteriaceae"	"JAGNZR01"	"JAGNZR01 sp017984315"
"bin_cph_ra.467"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Halieaceae"	"Halioglobus"	"Unclassified_Halioglobus"
"bin_cph_ra.469"	"Bacteria"	"Proteobacteria"	"Unclassified_Proteobacteria"	"Unclassified_Proteobacteria"	"Unclassified_Proteobacteria"	"Unclassified_Proteobacteria"	"Unclassified_Proteobacteria"
"bin_cph_ra.473"	"Bacteria"	"Firmicutes_A"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Unclassified_Clostridiaceae"	"Unclassified_Clostridiaceae"
"bin_cph_ra.474"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Flavobacterium"	"Unclassified_Flavobacterium"
"bin_cph_ra.484"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Ahniellaceae"	"JAGOEZ01"	"JAGOEZ01 sp017997455"
"bin_cph_ra.490"	"Bacteria"	"Acidobacteriota"	"Thermoanaerobaculia"	"UBA5704"	"UBA5704"	"JAGPDF01"	"JAGPDF01 sp018057705"
"bin_cph_ra.494"	"Bacteria"	"Desulfobacterota"	"Desulfobulbia"	"Desulfobulbales"	"Desulfobulbaceae"	"Desulfobulbus"	"Unclassified_Desulfobulbus"
"bin_cph_ra.497"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Chitinibacteraceae"	"Formivibrio"	"Unclassified_Formivibrio"
"bin_cph_ra.499"	"Bacteria"	"Patescibacteria"	"Saccharimonadia"	"Saccharimonadales"	"Nanogingivalaceae"	"Nanogingivalis"	"Unclassified_Nanogingivalis"
"bin_cph_ra.50"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Paraprevotella"	"Paraprevotella clara"
"bin_cph_ra.503"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonas_E"	"Pseudomonas_E sp002383725"
"bin_cph_ra.509"	"Bacteria"	"Actinobacteriota"	"Coriobacteriia"	"Coriobacteriales"	"Atopobiaceae"	"Olsenella_D"	"Olsenella_D sp002331575"
"bin_cph_ra.513"	"Bacteria"	"Firmicutes_A"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Eubacterium_I"	"Eubacterium_I ramulus"
"bin_cph_ra.515"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Rikenellaceae"	"Alistipes"	"Alistipes dispar"
"bin_cph_ra.526"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiaceae"	"Mesorhizobium_G"	"Unclassified_Mesorhizobium_G"
"bin_cph_ra.536"	"Bacteria"	"Firmicutes_A"	"Clostridia"	"Oscillospirales"	"Acutalibacteraceae"	"CAG-177"	"CAG-177 sp000431775"
"bin_cph_ra.537"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"Lactobacillus delbrueckii"
"bin_cph_ra.543"	"Bacteria"	"Actinobacteriota"	"Actinomycetia"	"Propionibacteriales"	"Propionibacteriaceae"	"Brooklawnia"	"Unclassified_Brooklawnia"
"bin_cph_ra.566"	"Bacteria"	"Actinobacteriota"	"Actinomycetia"	"Actinomycetales"	"Microbacteriaceae"	"Microbacterium"	"Unclassified_Microbacterium"
"bin_cph_ra.59"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Thermomonas"	"Unclassified_Thermomonas"
"bin_cph_ra.593"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Thermomonas"	"Unclassified_Thermomonas"
"bin_cph_ra.594"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Cardiobacteriales"	"Unclassified_Cardiobacteriales"	"Unclassified_Cardiobacteriales"	"Unclassified_Cardiobacteriales"
"bin_cph_ra.62"	"Bacteria"	"Campylobacterota"	"Campylobacteria"	"Campylobacterales"	"Arcobacteraceae"	"Aliarcobacter"	"Aliarcobacter ellisii"
"bin_cph_ra.629"	"Bacteria"	"Chloroflexota"	"Anaerolineae"	"Promineofilales"	"Promineofilaceae"	"JADJXA01"	"JADJXA01 sp016705235"
"bin_cph_ra.631"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Dysgonomonadaceae"	"Proteiniphilum"	"Unclassified_Proteiniphilum"
"bin_cph_ra.638"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Weeksellaceae"	"Kaistella"	"Unclassified_Kaistella"
"bin_cph_ra.640"	"Bacteria"	"Patescibacteria"	"Saccharimonadia"	"Saccharimonadales"	"Nanoperiomorbaceae"	"GCA-016699895"	"Unclassified_GCA-016699895"
"bin_cph_ra.650"	"Bacteria"	"Campylobacterota"	"Campylobacteria"	"Campylobacterales"	"Sulfurimonadaceae"	"Sulfurimonas"	"Sulfurimonas sp002452425"
"bin_cph_ra.656"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	"Enterococcus_F"	"Enterococcus_F sp017426705"
"bin_cph_ra.670"	"Bacteria"	"Firmicutes_A"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Coprococcus"	"Coprococcus eutactus_A"
"bin_cph_ra.672"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Rhodanobacteraceae"	"Dokdonella"	"Dokdonella sp016712865"
"bin_cph_ra.689"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Pseudoxanthomonas_B"	"Pseudoxanthomonas_B suwonensis_A"
