"Site"	"City"	"Date"	"Replicate"	"Replicate_Bigger"	"DNA_conc"	"Year"	"Day"	"Day0"	"Season"	"Sample_Long_Name"
"1014121_1"	"Budapest"	"Budapest"	2021-01-25	1	TRUE	"27.7"	"2021"	25	726	"winter"	"DTU_2022_1014121_1_MG_HU_BU_3_210125_GSL_750"
"1014124_1"	"Budapest"	"Budapest"	2021-02-15	1	TRUE	"14.9"	"2021"	46	747	"winter"	"DTU_2022_1014124_1_MG_HU_BU_3_210215_GSL_772"
"1014125_1"	"Budapest"	"Budapest"	2021-02-22	1	TRUE	"17.5"	"2021"	53	754	"winter"	"DTU_2022_1014125_1_MG_HU_BU_3_210222_GSL_776"
"1014129_1"	"Budapest"	"Budapest"	2021-03-15	1	TRUE	"22.9"	"2021"	74	775	"spring"	"DTU_2022_1014129_1_MG_HU_BU_3_210315_GSL_803"
"1014131_1"	"Budapest"	"Budapest"	2021-03-29	1	TRUE	"8.1"	"2021"	88	789	"spring"	"DTU_2022_1014131_1_MG_HU_BU_3_210329_GSL_818"
"1014137_1"	"Budapest"	"Budapest"	2021-04-04	1	TRUE	"2.1"	"2021"	94	795	"spring"	"DTU_2022_1014137_1_MG_HU_BU_3_210404_GSL_944"
"1014134_1"	"Budapest"	"Budapest"	2021-04-26	1	TRUE	"5.88"	"2021"	116	817	"spring"	"DTU_2022_1014134_1_MG_HU_BU_3_210426_GSL_907"
"1014135_1"	"Budapest"	"Budapest"	2021-05-04	1	TRUE	"13.5"	"2021"	124	825	"spring"	"DTU_2022_1014135_1_MG_HU_BU_3_210504_GSL_911"
"1014138_1"	"Budapest"	"Budapest"	2021-05-17	1	TRUE	"37.6"	"2021"	137	838	"spring"	"DTU_2022_1014138_1_MG_HU_BU_3_210517_GSL_948"
"1007150_1"	"Copenaghen_RA"	"Copenaghen"	2019-01-30	1	TRUE	"5,49"	"2019"	30	0	"winter"	"DTU_2020_1007150_1_MG_RA_CPH_Sewage_494"
"1007153_1"	"Copenaghen_RA"	"Copenaghen"	2019-02-18	1	TRUE	"13,7"	"2019"	49	19	"winter"	"DTU_2020_1007153_1_MG_RA_CPH_Sewage_504"
"1007154_2"	"Copenaghen_RD"	"Copenaghen"	2019-02-18	2	TRUE	"16,6"	"2019"	49	19	"winter"	"DTU_2020_1007154_2_MG_RD_CPH_Sewage_505"
"1007157_1"	"Copenaghen_RD"	"Copenaghen"	2019-03-27	1	TRUE	"1,36"	"2019"	86	56	"spring"	"DTU_2020_1007157_1_MG_RD_CPH_Sewage_517"
